minsec,seconds,optB,timestamp
2952,1636291792,8,1636291792.131358
2953,1636291793,8,1636291793.136610
2954,1636291794,8,1636291794.142805
2955,1636291795,8,1636291795.149530
2956,1636291796,8,1636291796.155891
2957,1636291797,10,1636291797.170173
2958,1636291798,10,1636291798.175752
2959,1636291799,10,1636291799.181357
3000,1636291800,10,1636291800.186839
3001,1636291801,10,1636291801.192419
3002,1636291802,10,1636291802.204486
3003,1636291803,10,1636291803.210275
3004,1636291804,10,1636291804.216008
3005,1636291805,10,1636291805.220473
3006,1636291806,10,1636291806.225929
3007,1636291807,10,1636291807.240132
3008,1636291808,10,1636291808.246824
3009,1636291809,10,1636291809.252521
3010,1636291810,10,1636291810.258728
3011,1636291811,10,1636291811.265390
3012,1636291812,8,1636291812.277997
3013,1636291813,8,1636291813.283793
3014,1636291814,8,1636291814.290063
3015,1636291815,8,1636291815.296750
3016,1636291816,8,1636291816.302777
3017,1636291817,8,1636291817.317798
3018,1636291818,8,1636291818.322945
3019,1636291819,8,1636291819.329322
3020,1636291820,8,1636291820.336161
3021,1636291821,8,1636291821.343087
3022,1636291822,6,1636291822.356022
3023,1636291823,6,1636291823.361090
3024,1636291824,6,1636291824.366988
3025,1636291825,6,1636291825.373278
3026,1636291826,6,1636291826.379835
3027,1636291827,4,1636291827.392791
3028,1636291828,4,1636291828.399008
3029,1636291829,4,1636291829.405541
3030,1636291830,4,1636291830.411951
3031,1636291831,4,1636291831.418671
3032,1636291832,2,1636291832.435318
3033,1636291833,2,1636291833.441914
3034,1636291834,2,1636291834.448400
3035,1636291835,2,1636291835.453954
3036,1636291836,2,1636291836.460189
3037,1636291837,2,1636291837.473024
3038,1636291838,2,1636291838.478804
3039,1636291839,2,1636291839.485300
3040,1636291840,2,1636291840.490886
3041,1636291841,2,1636291841.496738
3042,1636291842,2,1636291842.508852
3043,1636291843,2,1636291843.515397
3044,1636291844,2,1636291844.522226
3045,1636291845,2,1636291845.528985
3046,1636291846,2,1636291846.535631
3047,1636291847,4,1636291847.549763
3048,1636291848,4,1636291848.556480
3049,1636291849,4,1636291849.563132
3050,1636291850,4,1636291850.569488
3051,1636291851,4,1636291851.575624
3052,1636291852,6,1636291852.590239
3053,1636291853,6,1636291853.596727
3054,1636291854,6,1636291854.603350
3055,1636291855,6,1636291855.610217
3056,1636291856,6,1636291856.616928
3057,1636291857,8,1636291857.632356
3058,1636291858,8,1636291858.638881
3059,1636291859,8,1636291859.645600
3100,1636291860,8,1636291860.652290
3101,1636291861,8,1636291861.659274
3102,1636291862,8,1636291862.674043
3103,1636291863,8,1636291863.680576
3104,1636291864,8,1636291864.687247
3105,1636291865,8,1636291865.694012
3106,1636291866,8,1636291866.701110
3107,1636291867,10,1636291867.716023
3108,1636291868,10,1636291868.722541
3109,1636291869,10,1636291869.727945
3110,1636291870,10,1636291870.732619
3111,1636291871,10,1636291871.739163
3112,1636291872,10,1636291872.752761
3113,1636291873,10,1636291873.759423
3114,1636291874,10,1636291874.766136
3115,1636291875,10,1636291875.772710
3116,1636291876,10,1636291876.779350
3117,1636291877,10,1636291877.794064
3118,1636291878,10,1636291878.798895
3119,1636291879,10,1636291879.805218
3120,1636291880,10,1636291880.809439
3121,1636291881,10,1636291881.816051
3122,1636291882,8,1636291882.829173
3123,1636291883,8,1636291883.835928
3124,1636291884,8,1636291884.840654
3125,1636291885,8,1636291885.846459
3126,1636291886,8,1636291886.853875
3127,1636291887,8,1636291887.872387
3128,1636291888,8,1636291888.878012
3129,1636291889,8,1636291889.884809
3130,1636291890,8,1636291890.891611
3131,1636291891,8,1636291891.898414
3132,1636291892,6,1636291892.913340
3133,1636291893,6,1636291893.919995
3134,1636291894,6,1636291894.926503
3135,1636291895,6,1636291895.933060
3136,1636291896,6,1636291896.939574
3137,1636291897,4,1636291897.954555
3138,1636291898,4,1636291898.961458
3139,1636291899,4,1636291899.968092
3140,1636291900,4,1636291900.974614
3141,1636291901,4,1636291901.981170
3142,1636291902,2,1636291902.994848
3143,1636291903,2,1636291903.998940
