minsec,seconds,optB,timestamp
3331,1636292011,10,1636292011.829628
3332,1636292012,10,1636292012.836589
3333,1636292013,10,1636292013.850807
3334,1636292014,10,1636292014.857276
3335,1636292015,10,1636292015.863821
3336,1636292016,10,1636292016.870342
3337,1636292017,10,1636292017.876231
3338,1636292018,10,1636292018.890869
3339,1636292019,10,1636292019.897345
3340,1636292020,10,1636292020.903373
3341,1636292021,10,1636292021.909521
3342,1636292022,10,1636292022.915885
3343,1636292023,8,1636292023.926983
3344,1636292024,8,1636292024.933553
3345,1636292025,8,1636292025.940105
3346,1636292026,8,1636292026.946935
3347,1636292027,8,1636292027.953511
3348,1636292028,8,1636292028.967331
3349,1636292029,8,1636292029.973226
3350,1636292030,8,1636292030.979974
3351,1636292031,8,1636292031.986531
3352,1636292032,8,1636292032.993328
3354,1636292034,6,1636292034.007828
3355,1636292035,6,1636292035.011794
3356,1636292036,6,1636292036.016995
3357,1636292037,6,1636292037.023619
3358,1636292038,6,1636292038.030321
3359,1636292039,4,1636292039.045632
3400,1636292040,4,1636292040.051622
