PING 10.79.244.221 (10.79.244.221) 56(84) bytes of data.
64 bytes from 10.79.244.221: icmp_seq=82 ttl=64 time=5.18 ms
64 bytes from 10.79.244.221: icmp_seq=83 ttl=64 time=7.64 ms
64 bytes from 10.79.244.221: icmp_seq=84 ttl=64 time=12.0 ms
64 bytes from 10.79.244.221: icmp_seq=85 ttl=64 time=6.97 ms
64 bytes from 10.79.244.221: icmp_seq=86 ttl=64 time=5.92 ms
64 bytes from 10.79.244.221: icmp_seq=87 ttl=64 time=5.31 ms
64 bytes from 10.79.244.221: icmp_seq=88 ttl=64 time=6.92 ms
64 bytes from 10.79.244.221: icmp_seq=89 ttl=64 time=9.79 ms
64 bytes from 10.79.244.221: icmp_seq=90 ttl=64 time=8.77 ms
64 bytes from 10.79.244.221: icmp_seq=91 ttl=64 time=11.5 ms
64 bytes from 10.79.244.221: icmp_seq=92 ttl=64 time=6.63 ms
64 bytes from 10.79.244.221: icmp_seq=93 ttl=64 time=7.46 ms
64 bytes from 10.79.244.221: icmp_seq=94 ttl=64 time=7.96 ms
64 bytes from 10.79.244.221: icmp_seq=95 ttl=64 time=8.54 ms
64 bytes from 10.79.244.221: icmp_seq=96 ttl=64 time=9.00 ms
64 bytes from 10.79.244.221: icmp_seq=97 ttl=64 time=5.85 ms
64 bytes from 10.79.244.221: icmp_seq=98 ttl=64 time=6.16 ms
64 bytes from 10.79.244.221: icmp_seq=99 ttl=64 time=6.82 ms
64 bytes from 10.79.244.221: icmp_seq=100 ttl=64 time=5.59 ms
64 bytes from 10.79.244.221: icmp_seq=101 ttl=64 time=4.99 ms
64 bytes from 10.79.244.221: icmp_seq=102 ttl=64 time=7.34 ms
64 bytes from 10.79.244.221: icmp_seq=103 ttl=64 time=9.34 ms
64 bytes from 10.79.244.221: icmp_seq=104 ttl=64 time=9.60 ms
64 bytes from 10.79.244.221: icmp_seq=105 ttl=64 time=8.05 ms
64 bytes from 10.79.244.221: icmp_seq=106 ttl=64 time=9.17 ms
64 bytes from 10.79.244.221: icmp_seq=107 ttl=64 time=6.47 ms
64 bytes from 10.79.244.221: icmp_seq=108 ttl=64 time=5.91 ms
64 bytes from 10.79.244.221: icmp_seq=109 ttl=64 time=5.19 ms
64 bytes from 10.79.244.221: icmp_seq=110 ttl=64 time=9.49 ms
64 bytes from 10.79.244.221: icmp_seq=111 ttl=64 time=120 ms
64 bytes from 10.79.244.221: icmp_seq=112 ttl=64 time=16.2 ms
64 bytes from 10.79.244.221: icmp_seq=113 ttl=64 time=70.9 ms
64 bytes from 10.79.244.221: icmp_seq=114 ttl=64 time=5.21 ms
64 bytes from 10.79.244.221: icmp_seq=115 ttl=64 time=118 ms
64 bytes from 10.79.244.221: icmp_seq=116 ttl=64 time=36.8 ms
64 bytes from 10.79.244.221: icmp_seq=117 ttl=64 time=7.49 ms
64 bytes from 10.79.244.221: icmp_seq=118 ttl=64 time=5.30 ms
64 bytes from 10.79.244.221: icmp_seq=119 ttl=64 time=4.53 ms
64 bytes from 10.79.244.221: icmp_seq=120 ttl=64 time=6.58 ms
64 bytes from 10.79.244.221: icmp_seq=121 ttl=64 time=8.23 ms
64 bytes from 10.79.244.221: icmp_seq=122 ttl=64 time=8.65 ms
64 bytes from 10.79.244.221: icmp_seq=123 ttl=64 time=6.25 ms
64 bytes from 10.79.244.221: icmp_seq=124 ttl=64 time=6.81 ms
64 bytes from 10.79.244.221: icmp_seq=125 ttl=64 time=21.4 ms
64 bytes from 10.79.244.221: icmp_seq=126 ttl=64 time=4.70 ms
64 bytes from 10.79.244.221: icmp_seq=127 ttl=64 time=7.81 ms
64 bytes from 10.79.244.221: icmp_seq=128 ttl=64 time=5.21 ms
64 bytes from 10.79.244.221: icmp_seq=129 ttl=64 time=9.58 ms
64 bytes from 10.79.244.221: icmp_seq=130 ttl=64 time=7.45 ms
64 bytes from 10.79.244.221: icmp_seq=131 ttl=64 time=7.88 ms
64 bytes from 10.79.244.221: icmp_seq=132 ttl=64 time=6.86 ms
64 bytes from 10.79.244.221: icmp_seq=133 ttl=64 time=6.72 ms
64 bytes from 10.79.244.221: icmp_seq=134 ttl=64 time=6.76 ms
64 bytes from 10.79.244.221: icmp_seq=135 ttl=64 time=4.72 ms
64 bytes from 10.79.244.221: icmp_seq=136 ttl=64 time=5.78 ms
64 bytes from 10.79.244.221: icmp_seq=137 ttl=64 time=7.13 ms
64 bytes from 10.79.244.221: icmp_seq=138 ttl=64 time=7.57 ms
64 bytes from 10.79.244.221: icmp_seq=139 ttl=64 time=7.28 ms
64 bytes from 10.79.244.221: icmp_seq=140 ttl=64 time=5.49 ms
64 bytes from 10.79.244.221: icmp_seq=141 ttl=64 time=6.66 ms
64 bytes from 10.79.244.221: icmp_seq=142 ttl=64 time=8.85 ms
64 bytes from 10.79.244.221: icmp_seq=143 ttl=64 time=25.2 ms
64 bytes from 10.79.244.221: icmp_seq=144 ttl=64 time=7.31 ms
64 bytes from 10.79.244.221: icmp_seq=145 ttl=64 time=8.22 ms
64 bytes from 10.79.244.221: icmp_seq=146 ttl=64 time=9.58 ms
64 bytes from 10.79.244.221: icmp_seq=147 ttl=64 time=7.65 ms
