PING 10.79.140.204 (10.79.140.204) 56(84) bytes of data.
64 bytes from 10.79.140.204: icmp_seq=1 ttl=64 time=84.0 ms
64 bytes from 10.79.140.204: icmp_seq=2 ttl=64 time=107 ms
64 bytes from 10.79.140.204: icmp_seq=3 ttl=64 time=30.0 ms
64 bytes from 10.79.140.204: icmp_seq=4 ttl=64 time=53.5 ms
64 bytes from 10.79.140.204: icmp_seq=5 ttl=64 time=71.6 ms
64 bytes from 10.79.140.204: icmp_seq=6 ttl=64 time=98.1 ms
64 bytes from 10.79.140.204: icmp_seq=7 ttl=64 time=18.7 ms
64 bytes from 10.79.140.204: icmp_seq=8 ttl=64 time=37.9 ms
64 bytes from 10.79.140.204: icmp_seq=9 ttl=64 time=65.6 ms
64 bytes from 10.79.140.204: icmp_seq=10 ttl=64 time=83.9 ms
64 bytes from 10.79.140.204: icmp_seq=11 ttl=64 time=106 ms
64 bytes from 10.79.140.204: icmp_seq=12 ttl=64 time=29.7 ms
64 bytes from 10.79.140.204: icmp_seq=13 ttl=64 time=49.7 ms
64 bytes from 10.79.140.204: icmp_seq=14 ttl=64 time=72.2 ms
64 bytes from 10.79.140.204: icmp_seq=15 ttl=64 time=101 ms
64 bytes from 10.79.140.204: icmp_seq=16 ttl=64 time=19.9 ms
64 bytes from 10.79.140.204: icmp_seq=17 ttl=64 time=38.2 ms
64 bytes from 10.79.140.204: icmp_seq=18 ttl=64 time=63.1 ms
64 bytes from 10.79.140.204: icmp_seq=19 ttl=64 time=85.7 ms
64 bytes from 10.79.140.204: icmp_seq=20 ttl=64 time=107 ms
64 bytes from 10.79.140.204: icmp_seq=21 ttl=64 time=27.5 ms
64 bytes from 10.79.140.204: icmp_seq=22 ttl=64 time=49.3 ms
64 bytes from 10.79.140.204: icmp_seq=23 ttl=64 time=72.2 ms
64 bytes from 10.79.140.204: icmp_seq=24 ttl=64 time=95.3 ms
64 bytes from 10.79.140.204: icmp_seq=25 ttl=64 time=15.9 ms
64 bytes from 10.79.140.204: icmp_seq=26 ttl=64 time=38.5 ms
64 bytes from 10.79.140.204: icmp_seq=27 ttl=64 time=6.40 ms
64 bytes from 10.79.140.204: icmp_seq=28 ttl=64 time=86.1 ms
64 bytes from 10.79.140.204: icmp_seq=29 ttl=64 time=107 ms
64 bytes from 10.79.140.204: icmp_seq=30 ttl=64 time=25.9 ms
64 bytes from 10.79.140.204: icmp_seq=31 ttl=64 time=47.9 ms
64 bytes from 10.79.140.204: icmp_seq=32 ttl=64 time=71.6 ms
64 bytes from 10.79.140.204: icmp_seq=33 ttl=64 time=95.8 ms
64 bytes from 10.79.140.204: icmp_seq=34 ttl=64 time=12.1 ms
64 bytes from 10.79.140.204: icmp_seq=35 ttl=64 time=37.7 ms
64 bytes from 10.79.140.204: icmp_seq=36 ttl=64 time=63.9 ms
64 bytes from 10.79.140.204: icmp_seq=37 ttl=64 time=8.83 ms
