PING 10.79.140.204 (10.79.140.204) 56(84) bytes of data.
64 bytes from 10.79.140.204: icmp_seq=82 ttl=64 time=17.3 ms
64 bytes from 10.79.140.204: icmp_seq=83 ttl=64 time=40.1 ms
64 bytes from 10.79.140.204: icmp_seq=84 ttl=64 time=63.3 ms
64 bytes from 10.79.140.204: icmp_seq=85 ttl=64 time=87.6 ms
64 bytes from 10.79.140.204: icmp_seq=86 ttl=64 time=105 ms
64 bytes from 10.79.140.204: icmp_seq=87 ttl=64 time=28.5 ms
64 bytes from 10.79.140.204: icmp_seq=88 ttl=64 time=48.8 ms
64 bytes from 10.79.140.204: icmp_seq=89 ttl=64 time=72.5 ms
64 bytes from 10.79.140.204: icmp_seq=90 ttl=64 time=99.4 ms
64 bytes from 10.79.140.204: icmp_seq=91 ttl=64 time=15.8 ms
64 bytes from 10.79.140.204: icmp_seq=92 ttl=64 time=46.9 ms
64 bytes from 10.79.140.204: icmp_seq=93 ttl=64 time=61.2 ms
64 bytes from 10.79.140.204: icmp_seq=94 ttl=64 time=83.7 ms
64 bytes from 10.79.140.204: icmp_seq=95 ttl=64 time=106 ms
64 bytes from 10.79.140.204: icmp_seq=96 ttl=64 time=27.4 ms
64 bytes from 10.79.140.204: icmp_seq=97 ttl=64 time=151 ms
64 bytes from 10.79.140.204: icmp_seq=98 ttl=64 time=72.1 ms
64 bytes from 10.79.140.204: icmp_seq=99 ttl=64 time=101 ms
64 bytes from 10.79.140.204: icmp_seq=100 ttl=64 time=12.8 ms
64 bytes from 10.79.140.204: icmp_seq=101 ttl=64 time=37.6 ms
64 bytes from 10.79.140.204: icmp_seq=102 ttl=64 time=57.9 ms
64 bytes from 10.79.140.204: icmp_seq=103 ttl=64 time=80.1 ms
64 bytes from 10.79.140.204: icmp_seq=104 ttl=64 time=104 ms
64 bytes from 10.79.140.204: icmp_seq=105 ttl=64 time=43.3 ms
64 bytes from 10.79.140.204: icmp_seq=106 ttl=64 time=7.99 ms
64 bytes from 10.79.140.204: icmp_seq=107 ttl=64 time=66.1 ms
64 bytes from 10.79.140.204: icmp_seq=108 ttl=64 time=160 ms
64 bytes from 10.79.140.204: icmp_seq=109 ttl=64 time=70.6 ms
64 bytes from 10.79.140.204: icmp_seq=110 ttl=64 time=8.16 ms
64 bytes from 10.79.140.204: icmp_seq=111 ttl=64 time=121 ms
64 bytes from 10.79.140.204: icmp_seq=112 ttl=64 time=81.9 ms
64 bytes from 10.79.140.204: icmp_seq=113 ttl=64 time=104 ms
64 bytes from 10.79.140.204: icmp_seq=114 ttl=64 time=22.9 ms
64 bytes from 10.79.140.204: icmp_seq=115 ttl=64 time=50.1 ms
64 bytes from 10.79.140.204: icmp_seq=116 ttl=64 time=73.8 ms
64 bytes from 10.79.140.204: icmp_seq=117 ttl=64 time=93.3 ms
64 bytes from 10.79.140.204: icmp_seq=118 ttl=64 time=11.5 ms
64 bytes from 10.79.140.204: icmp_seq=119 ttl=64 time=36.9 ms
64 bytes from 10.79.140.204: icmp_seq=120 ttl=64 time=59.3 ms
64 bytes from 10.79.140.204: icmp_seq=121 ttl=64 time=79.3 ms
64 bytes from 10.79.140.204: icmp_seq=122 ttl=64 time=102 ms
64 bytes from 10.79.140.204: icmp_seq=123 ttl=64 time=23.4 ms
64 bytes from 10.79.140.204: icmp_seq=124 ttl=64 time=46.1 ms
64 bytes from 10.79.140.204: icmp_seq=125 ttl=64 time=71.3 ms
64 bytes from 10.79.140.204: icmp_seq=126 ttl=64 time=91.8 ms
64 bytes from 10.79.140.204: icmp_seq=127 ttl=64 time=113 ms
64 bytes from 10.79.140.204: icmp_seq=128 ttl=64 time=36.8 ms
64 bytes from 10.79.140.204: icmp_seq=129 ttl=64 time=58.3 ms
64 bytes from 10.79.140.204: icmp_seq=130 ttl=64 time=79.4 ms
64 bytes from 10.79.140.204: icmp_seq=131 ttl=64 time=101 ms
64 bytes from 10.79.140.204: icmp_seq=132 ttl=64 time=23.3 ms
64 bytes from 10.79.140.204: icmp_seq=133 ttl=64 time=45.5 ms
64 bytes from 10.79.140.204: icmp_seq=134 ttl=64 time=8.18 ms
64 bytes from 10.79.140.204: icmp_seq=135 ttl=64 time=5.08 ms
64 bytes from 10.79.140.204: icmp_seq=136 ttl=64 time=113 ms
64 bytes from 10.79.140.204: icmp_seq=137 ttl=64 time=36.5 ms
